35511,27134
31713,34857
28148,29084
34982,52216
30235,21437
33174,29777
30567,60211
32871,29997
34509,24047
49213,44329
30008,24652
30142,39605
31484,49779
30290,34462
30773,84201
30935,25679
33697,36177
86453,2561
39929,180520
42603,416774
92620,176810
41307,413103
31887,144527
31934,15125
35199,83908
55506,144902
29517,54501
30127,55399
55679,1403
32882,7792
21415,74731
25937,26081
42228,75485
27675,49024
27226,112877
34743,100967
31603,864
29952,50270
18573,3123
24991,12470
20256,14277
25980,7987
26425,16171
25133,66160
31935,142947
23024,23375
22607,26128
38601,67847
28346,42061
23926,18343
33139,160236
28519,120374
37929,76624
27454,123702
26676,43352
32343,53565
25517,101240
27112,37181
24710,71488
40281,194307
56644,534801
104323,769250
32956,160122
29474,88529
24958,92903
20435,168604
25849,61569
27305,167996
36004,2366797
30270,774846
28174,95725
35070,177756
30407,141140
31210,314391
28446,351334
50090,3083523
31043,431892
64791,464275
41293,164673
44310,787633
40067,361908
82031,462464
66211,87101
31118,36271
104178,721481
